2022-03-02 19:13:49   54,2g  45   0k  0  0 541 1624 22  0 69 13 11  0  0  0 6,3g  988m  960m  28m  0k   0k 96k 72 13 22 133k  0k  62 256m  51m  14m  13m  2m  2m  23m  10m 365m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:50   54,2g  45   0k  0  0 541 1600  2  0 46  7 45  0  0  0 6,3g  988m  960m  28m  0k   0k 96k 46  7 22 133k  0k  39 256m  62m  14m  13m  2m  2m  23m  10m 305m  13  3   0 38m  57   52 2884    0   0 
2022-03-02 19:13:51   54,2g  45   0k  0  0 541 1624 22  0 68 12 14  0  0  0 6,3g  991m  963m  28m  0k   0k 96k 71 12 22 134k <1k  62 256m 104m  14m  13m  2m  2m  23m  10m 258m  36 26  26 61m  57   52 2884    0   0 
2022-03-02 19:13:52   54,2g  45   0k  0  0 541 1623 19  0 69 13 12  0  0  0 6,3g  991m  963m  28m  0k   0k 96k 71 13 22 133k  0k  62 256m 102m  14m  13m  2m  2m  23m  10m 396m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:53   54,2g  45   0k  0  0 541 1626 23  0 70 12 11  0  0  0 6,3g  991m  963m  28m  0k   0k 96k 73 13 22 133k  0k  62 256m  24m  14m  13m  2m  2m  23m  10m 181m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:54   54,2g  45   0k  0  0 541 1606  6  0 56  9 31  0  0  0 6,3g  992m  963m  28m  0k   0k 96k 57  9 22 133k  0k  42 256m 100m  14m  13m  2m  2m  23m  10m 258m  16  6   0 41m  57   52 2884    0   0 
2022-03-02 19:13:55   54,2g  46   0k  0  0 541 1644 22  0 67 12 15  0  0  0 6,3g  992m  964m  28m  0k   0k 96k 68 12 22 135k <1k  62 256m 101m  14m  13m  2m  2m  23m  10m 297m  36 26  26 61m  57   52 2884    0   0 
2022-03-02 19:13:56   54,2g  46   0k  0  0 541 1644 18  0 72 11 11  0  0  0 6,3g  992m  964m  28m  0k   0k 96k 74 11 22 134k  0k  62 256m 109m  14m  13m  2m  2m  23m  10m 253m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:57   54,2g  46   0k  0  0 541 1644 18  0 72 13 10  0  0  0 6,3g  992m  964m  28m  0k   0k 96k 73 13 22 133k  0k  62 256m  15m  14m  13m  2m  2m  23m  10m 298m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:58   54,2g  46   0k  0  0 541 1620  3  0 56 10 28  0  0  0 6,3g  992m  964m  28m  0k   0k 96k 58 10 22 133k  0k  40 256m 126m  14m  13m  2m  2m  23m  10m 371m  14  4   0 39m  57   52 2884    0   0 
