Vitals:
Now:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

                Now,"61900880","25","0","","","526","1132","1","0","","","","","","","6605712","848924","820372","28552","0","0","96","","","23","","","32","","","14400","13927","2048","1870","23808","10304","","10","1","","","","","2903","","",

Last 6 minutes:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

2022-03-04 13:45:06,"61930344","25","0","0","0","526","1164","25","0","57","4","38","0","0","0","6606740","818724","790168","28556","0","0","96","58","4","22","128","0","62","262144","18041","14400","13845","2048","1856","23808","10240","132364","36","26","26","62608","49","44","2875","0","0",
2022-03-04 13:45:07,"61930344","25","0","0","0","526","1164","21","0","87","5","5","0","0","0","6606740","818724","790168","28556","0","0","96","89","5","22","128","0","62","262144","147508","14400","13845","2048","1856","23808","10240","252753","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:08,"61930344","25","0","0","0","526","1164","23","0","87","5","6","0","0","0","6606740","818724","790168","28556","0","0","96","88","5","22","128","0","62","262144","63369","14400","13845","2048","1856","23808","10240","149426","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:09,"61930344","25","0","0","0","526","1164","25","0","86","4","6","0","0","0","6606740","818724","790168","28556","0","0","96","88","4","22","128","0","62","262144","95981","14400","13845","2048","1856","23808","10240","106864","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:10,"61930108","25","0","0","0","526","1164","25","0","66","4","29","0","0","0","6606740","818724","790168","28556","0","0","96","67","4","22","128","0","62","262144","38597","14400","13845","2048","1856","23808","10240","194020","36","26","26","62608","49","44","2875","0","0",
2022-03-04 13:45:11,"61930108","25","0","0","0","526","1164","24","0","85","6","5","0","0","0","6606740","818724","790168","28556","0","0","96","88","6","22","128","0","62","262144","125347","14400","13845","2048","1856","23808","10240","247199","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:12,"61930108","25","0","0","0","526","1164","25","0","86","5","6","0","0","0","6606740","818724","790168","28556","0","0","96","88","5","22","128","0","62","262144","97579","14400","13845","2048","1856","23808","10240","203483","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:13,"61930864","25","0","0","0","526","1166","24","0","85","5","6","0","0","0","6606740","818724","790168","28556","0","0","96","87","5","22","128","0","62","262144","35677","14400","13845","2048","1856","23808","10240","143838","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:14,"61930864","25","0","0","0","526","1158","15","0","81","5","11","0","0","0","6606740","818724","790168","28556","0","0","96","83","5","22","128","0","54","262144","137586","14400","13845","2048","1856","23808","10240","102803","28","18","0","54384","49","44","2875","0","0",
2022-03-04 13:45:15,"61931116","25","0","0","0","526","1166","22","0","66","5","27","0","0","0","6606740","818988","790432","28556","0","0","96","68","5","22","128","0","62","262144","71789","14400","13845","2048","1856","23808","10240","197515","36","26","26","62608","49","44","2875","0","0",
2022-03-04 13:45:16,"61931624","25","0","0","0","526","1166","26","0","86","5","6","0","0","0","6606740","818988","790432","28556","0","0","96","87","5","22","128","0","62","262144","151930","14400","13845","2048","1856","23808","10240","201962","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:17,"61931632","25","0","0","0","526","1166","24","0","89","5","4","0","0","0","6606740","818988","790432","28556","0","0","96","90","5","22","128","0","62","262144","88570","14400","13845","2048","1856","23808","10240","209722","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:18,"61931620","25","0","0","0","526","1164","21","0","84","5","8","0","0","0","6606740","818988","790432","28556","0","0","96","85","6","22","128","0","60","262144","28175","14400","13845","2048","1856","23808","10240","146335","34","24","0","60552","49","44","2875","0","0",
