Vitals:
Now:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

                Now,"56542948","47","0","","","532","1561","3","0","","","","","","","23395448","1740880","1712632","28248","0","0","88","","","23","","","32","","","14400","13925","2048","1876","23808","10112","","10","1","","","","","2914","","",

Last 6 minutes:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

2022-03-02 14:49:33,"56611436","47","0","0","0","535","1584","23","0","67","14","13","0","0","0","23396476","1610488","1582236","28252","0","0","88","70","15","22","132","0","63","983040","25631","14272","13771","2048","1862","23808","9792","","37","26","0","63636","57","52","2888","0","0",
2022-03-02 14:49:34,"56610940","47","0","0","0","535","1564","6","0","63","13","19","0","0","0","23396476","1611592","1583340","28252","0","0","88","64","13","22","132","0","44","983040","141040","14272","13771","2048","1862","23808","9792","","18","7","0","44104","57","52","2888","0","0",
2022-03-02 14:49:35,"57115696","45","0","0","0","534","1582","19","0","62","14","19","0","0","0","23396476","1108824","1080572","28252","0","0","88","65","15","22","134","0","63","483328","133227","14272","13773","2048","1862","23808","9792","","37","26","26","63636","57","52","2888","0","0",
2022-03-02 14:49:36,"56891416","46","0","0","0","534","1582","23","0","65","14","12","0","0","0","23396476","1331796","1303544","28252","0","0","88","70","15","22","132","0","63","704512","325870","14272","13773","2048","1862","23808","9792","","37","26","0","63636","57","52","2888","0","0",
2022-03-02 14:49:37,"56574652","47","0","0","0","534","1584","22","0","68","15","10","0","0","0","23396476","1652908","1624656","28252","0","0","88","70","16","22","132","0","63","1024000","303050","14272","13773","2048","1862","23808","9792","","37","26","0","63636","57","52","2888","0","0",
2022-03-02 14:49:38,"56545672","47","0","0","0","534","1565","9","0","63","15","16","0","0","0","23396476","1679344","1651092","28252","0","0","88","65","15","22","132","0","46","1024000","398535","14272","13773","2048","1862","23808","9792","","20","9","0","46160","57","52","2888","0","0",
2022-03-02 14:49:39,"57044892","45","0","0","0","534","1583","23","0","62","14","19","0","0","0","23396476","1180932","1152680","28252","0","0","88","65","14","22","133","0","62","524288","255590","14272","13784","2048","1862","23808","9856","","36","26","26","62608","57","52","2888","0","0",
2022-03-02 14:49:40,"56808012","46","0","0","0","533","1582","21","0","68","14","11","0","0","0","23396476","1419256","1391004","28252","0","0","88","72","15","22","131","0","62","761856","364959","14272","13784","2048","1862","23808","9856","","36","26","0","62608","57","52","2888","0","0",
2022-03-02 14:49:41,"56649756","47","0","0","0","533","1582","23","0","66","14","14","0","0","0","23396476","1575316","1547064","28252","0","0","88","70","15","22","131","0","62","917504","55656","14272","13784","2048","1862","23808","9856","","36","26","0","62608","57","52","2888","0","0",
2022-03-02 14:49:42,"56449668","47","0","0","0","533","1574","18","0","67","14","12","0","0","0","23396476","1777416","1749164","28252","0","0","88","69","14","22","132","0","54","1105920","351284","14272","13785","2048","1862","23808","9856","","28","18","0","54384","57","52","2888","0","0",
